GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
3100000US48980,48980,"Wilson, NC Micro Area",15142,1006,28970,1517,46327,2186,74766,2828,128625,13042
3100000US49020,49020,"Winchester, VA-WV Metro Area",23976,1090,41152,1910,63714,3510,97256,4063,155041,9654
3100000US49060,49060,"Winfield, KS Micro Area",17539,1908,29861,2217,46429,2156,75189,3156,117855,9226
3100000US49100,49100,"Winona, MN Micro Area",18552,1087,34386,1384,52307,1602,83066,2633,131514,12664
3100000US49180,49180,"Winston-Salem, NC Metro Area",19934,518,36122,827,55965,814,87100,1393,156727,6621
3100000US49300,49300,"Wooster, OH Micro Area",21991,1647,39164,1689,57529,1655,82223,2050,137592,6574
3100000US49340,49340,"Worcester, MA Metro Area",24176,763,47930,985,75161,1100,113032,1791,184756,4844
3100000US49380,49380,"Worthington, MN Micro Area",16487,3710,29688,2571,47929,4710,77469,5450,132628,13984
3100000US49420,49420,"Yakima, WA Metro Area",17312,722,32034,1108,50389,1752,76331,2476,127320,4778
3100000US49460,49460,"Yankton, SD Micro Area",18123,2534,31674,4458,50439,3382,72679,5345,126711,22114
3100000US49500,49500,"Yauco, PR Metro Area",4717,593,10254,459,17381,846,32711,1654,63387,3884
3100000US49540,49540,"Yazoo City, MS Micro Area",9778,1139,21701,3595,39338,4847,67456,12410,118804,9728
3100000US49620,49620,"York-Hanover, PA Metro Area",25442,759,44145,928,64710,985,93432,1428,147496,3088
3100000US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",17609,484,32384,505,50122,843,76843,1229,129425,2376
3100000US49700,49700,"Yuba City, CA Metro Area",21361,998,37642,1798,58947,2418,91675,2923,152687,3984
3100000US49740,49740,"Yuma, AZ Metro Area",18002,913,31229,1181,46993,2210,72934,1640,124467,6027
3100000US49780,49780,"Zanesville, OH Micro Area",15891,1310,31055,1046,47743,1904,71820,1759,120014,10417
