"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"04","00123","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City--Maryvale (West)",108404,1 
"04","00124","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Glendale City (South)",100367,1 
"04","00125","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City (West)",101932,1 
"04","00126","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Glendale City (North)",121841,1 
"04","00127","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Peoria City (South & Central)",113447,1 
"04","00128","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City (North)",103065,1 
"04","00129","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix (Far North) & Peoria (Northwest) Cities",105818,1 
"04","00130","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--El Mirage City & Sun City",116222,1 
"04","00131","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Surprise City (Central)",103540,1 
"04","00132","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",102571,1 
"04","00133","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities",103989,1 
"04","00134","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County (West) & Gila River Indian Community (Northwest)",109882,1 
"04","00201","46060","AZ","Tucson, AZ (Metro)","Pima County (West)",101172,1 
"04","00202","46060","AZ","Tucson, AZ (Metro)","Tucson (West) & Marana Cities",115321,1 
"04","00203","46060","AZ","Tucson, AZ (Metro)","Pima County (North Central)--Oro Valley Town",109462,1 
"04","00204","46060","AZ","Tucson, AZ (Metro)","Pima County (Northeast)",104434,1 
"04","00205","46060","AZ","Tucson, AZ (Metro)","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town",122285,1 
"04","00206","46060","AZ","Tucson, AZ (Metro)","Tucson City (Northeast)",102159,1 
"04","00207","46060","AZ","Tucson, AZ (Metro)","Tucson City (Northwest)",101927,1 
"04","00208","46060","AZ","Tucson, AZ (Metro)","Tucson City (South)",108063,1 
"04","00209","46060","AZ","Tucson, AZ (Metro)","Tucson City (Southeast)",115440,1 
"04","00300"," ","AZ"," ","Navajo & Apache Counties",71518,0.4 
"04","00300","43320","AZ","Show Low, AZ (Micro)","Navajo & Apache Counties",107449,0.6 
