"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop14","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Pop 2014 estimate fr county level ests","puma12 to cbsa alloc factor"
"42","03104","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Montgomery County (Central)--Norristown Borough",123460.833,1 
"42","03105","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Montgomery County (Southeast)--Willow Grove, Horsham & Montgomeryville",129548.397,1 
"42","03106","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Montgomery County (South Central)",171384.191,1 
"42","03201","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (Far Northeast)",162905.205,1 
"42","03202","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (Near Northeast-West)",136763.686,1 
"42","03203","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (Near Northeast-East)",134903.812,1 
"42","03204","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (North)",164929.697,1 
"42","03205","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (East)",165622.933,1 
"42","03206","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (Northwest)",138945.64,1 
"42","03207","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (Central)",116213.04,1 
"42","03208","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (West)",126006.268,1 
"42","03209","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (Center City)",131604.297,1 
"42","03210","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (Southwest)",153086.415,1 
"42","03211","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Philadelphia City (Southeast)",129316.007,1 
"42","03301","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Delaware County (North)--Broomall & Ardmore (West)",132068.932,1 
"42","03302","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Delaware County (East)--Yeadon, Darby, Lansdowne Boroughs & Drexel Hill",164412.652,1 
"42","03303","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Delaware County (Southeast)--Chester City",146188.781,1 
"42","03304","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Delaware County (West)",120289.634,1 
"42","03401","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Chester County (North)--Phoenixville Borough",110978.863,1 
"42","03402","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Chester County (East Central)--West Chester Borough",133856.928,1 
"42","03403","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Chester County (West Central)--Coatesville City",148239.746,1 
"42","03404","37980","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","Chester County (South)",119708.462,1 
"42","03501","29540","PA","Lancaster, PA (Metro)","Lancaster County--Lancaster City, East Lampeter, Lancaster & West Lampeter Townships",119652.923,1 
"42","03502","29540","PA","Lancaster, PA (Metro)","Lancaster County (Northwest)--Elizabethtown Borough",109492.589,1 
"42","03503","29540","PA","Lancaster, PA (Metro)","Lancaster County (East)--Ephrata Borough",173339.652,1 
"42","03504","29540","PA","Lancaster, PA (Metro)","Lancaster County (Southwest)--Columbia Borough",130834.835,1 
"42","03601","49620","PA","York-Hanover, PA (Metro)","York County (Central)--York City & Shiloh",167987.103,1 
"42","03602","49620","PA","York-Hanover, PA (Metro)","York County (North)--Weigelstown",125841.12,1 
"42","03603","49620","PA","York-Hanover, PA (Metro)","York County (South)",146926.777,1 
"42","03701","16540","PA","Chambersburg-Waynesboro, PA (Metro)","Adams & Franklin (Southeast) Counties",25114.804,0.198 
"42","03701","23900","PA","Gettysburg, PA (Metro)","Adams & Franklin (Southeast) Counties",101714,0.802 
"42","03702","16540","PA","Chambersburg-Waynesboro, PA (Metro)","Franklin County (Outside Washington Township & Waynesboro Borough)",127777.196,1 
"42","03800"," ","PA"," ","Somerset, Bedford & Fulton Counties",63578,0.455 
"42","03800","43740","PA","Somerset, PA (Micro)","Somerset, Bedford & Fulton Counties",76218,0.545 
"42","03900","38300","PA","Pittsburgh, PA (Metro)","Fayette County",134086,1 
"42","04001","38300","PA","Pittsburgh, PA (Metro)","Washington County (North)--Washington City",143073.215,1 
"42","04002"," ","PA"," ","Washington (South) & Greene Counties",37843,0.368 
"42","04002","38300","PA","Pittsburgh, PA (Metro)","Washington (South) & Greene Counties",65113.785,0.632 
"44","00101","39300","RI","Providence-Warwick, RI-MA (Metro)","Northwest Rhode Island--Providence County (West & Central)--Woonsocket City",145207.379,1 
"44","00102","39300","RI","Providence-Warwick, RI-MA (Metro)","Northeast Rhode Island--Providence County--Pawtucket & Central Falls Cities",178713.748,1 
"44","00103","39300","RI","Providence-Warwick, RI-MA (Metro)","Providence City",179549.769,1 
"44","00104","39300","RI","Providence-Warwick, RI-MA (Metro)","Providence County (Southeast)--Cranston & East Providence Cities",128503.104,1 
"44","00201","39300","RI","Providence-Warwick, RI-MA (Metro)","Central Rhode Island--Kent County--Warwick City",165128,1 
"44","00300","39300","RI","Providence-Warwick, RI-MA (Metro)","Southeast Rhode Island--Newport & Bristol Counties--Newport City",131418,1 
"44","00400","39300","RI","Providence-Warwick, RI-MA (Metro)","South Rhode Island--Washington County",126653,1 
"45","00101","24860","SC","Greenville-Anderson-Mauldin, SC (Metro)","Pickens & Oconee Counties--Easley & Clemson Cities",120368,0.616 
"45","00101","42860","SC","Seneca, SC (Micro)","Pickens & Oconee Counties--Easley & Clemson Cities",75192,0.384 
"45","00102","24860","SC","Greenville-Anderson-Mauldin, SC (Metro)","Greenville County (North)--Greer City (North & West) & Taylors (Central & East)",109124.58,1 
"45","00103","24860","SC","Greenville-Anderson-Mauldin, SC (Metro)","Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea",167573.707,1 
"45","00104","24860","SC","Greenville-Anderson-Mauldin, SC (Metro)","Greenville County (Central)--Greenville & Mauldin Cities",114483.558,1 
"45","00105","24860","SC","Greenville-Anderson-Mauldin, SC (Metro)","Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities",158103.156,1 
"45","00200","24860","SC","Greenville-Anderson-Mauldin, SC (Metro)","Anderson County--Anderson City",192810,1 
"45","00301","43900","SC","Spartanburg, SC (Metro)","Spartanburg County (Central)--Spartanburg City",119160.869,1 
"45","00302","43900","SC","Spartanburg, SC (Metro)","Spartanburg County (Outside Spartanburg City)--Greer City (East)",174381.131,1 
"45","00400","16740","SC","Charlotte-Concord-Gastonia, NC-SC (Metro)","Cherokee, Newberry, Chester & Union Counties",32337,0.21 
"45","00400","23500","SC","Gaffney, SC (Micro)","Cherokee, Newberry, Chester & Union Counties",56024,0.364 
"45","00400","35140","SC","Newberry, SC (Micro)","Cherokee, Newberry, Chester & Union Counties",37783,0.245 
"45","00400","43900","SC","Spartanburg, SC (Metro)","Cherokee, Newberry, Chester & Union Counties",27876,0.181 
"45","00501","16740","SC","Charlotte-Concord-Gastonia, NC-SC (Metro)","York County (West & Outside Rock Hill City)",116268.39,1 
"45","00502","16740","SC","Charlotte-Concord-Gastonia, NC-SC (Metro)","York County (East)--Rock Hill City & Fort Mill Town",129077.61,1 
"45","00601","17900","SC","Columbia, SC (Metro)","Lexington (South & West) & Saluda Counties--Lexington Town & Red Bank",171312.823,1 
"45","00602","17900","SC","Columbia, SC (Metro)","Lexington County (North & East)--West Columbia, Cayce Cities, Irmo Town & Seven Oaks",126601.177,1 
"45","00603","17900","SC","Columbia, SC (Metro)","Richland (North) & Fairfield Counties--Forest Acres City & Dentsville",181721.9,1 
"45","00604","17900","SC","Columbia, SC (Metro)","Richland County (Central)--Columbia City",211944.225,1 
"45","00605","17900","SC","Columbia, SC (Metro)","Kershaw, Richland (South) & Calhoun Counties",108914.874,1 
"45","00700"," ","SC"," ","Lancaster, Chesterfield & Marlboro Counties",46125,0.293 
"45","00700","13500","SC","Bennettsville, SC (Micro)","Lancaster, Chesterfield & Marlboro Counties",27924,0.178 
"45","00700","16740","SC","Charlotte-Concord-Gastonia, NC-SC (Metro)","Lancaster, Chesterfield & Marlboro Counties",83160,0.529 
"45","00800"," ","SC"," ","Sumter, Clarendon, Williamsburg & Lee Counties--Sumter City",85151,0.441 
"45","00800","44940","SC","Sumter, SC (Metro)","Sumter, Clarendon, Williamsburg & Lee Counties--Sumter City",107919,0.559 
"45","00900","22500","SC","Florence, SC (Metro)","Florence & Darlington Counties--Florence City",207030,1 
"45","01000"," ","SC"," ","Georgetown, Marion & Dillon Counties",63060,0.509 
"45","01000","23860","SC","Georgetown, SC (Micro)","Georgetown, Marion & Dillon Counties",60773,0.491 
"45","01101","34820","SC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metro)","Horry County (West & North)--Conway City & Red Hill",142460.96,1 
