"cbsa","state","puma12","stab","cbsaname15","PUMAname","pop14","afact"
"CBSA current as of CBSAyr","FIPS state","puma12","State Postal Code","2015 CBSA Name","PUMA12 Name","Pop 2014 estimate fr county level ests","cbsa to puma12 alloc factor"
" ","17","00401","IL"," ","Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties",26590,0.001 
" ","17","00501","IL"," ","Montgomery, Bond, Clinton, Fayette & Effingham Counties",51229,0.003 
" ","17","00600","IL"," ","Douglas, Edgar, Coles & Cumberland Counties",37730,0.002 
" ","17","00700","IL"," ","Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties",107839,0.006 
" ","17","00800","IL"," ","South & Southeast Illinois",115007,0.006 
" ","17","00900","IL"," ","Jackson, Williamson, Franklin & Perry Counties",61083,0.003 
" ","17","01001","IL"," ","Monroe, Randolph, Washington, Jefferson & Marion Counties",47206,0.003 
" ","17","01602","IL"," ","Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties",36885,0.002 
" ","17","02200","IL"," ","Livingston, Ford, Iroquois & Vermilion Counties",28879,0.002 
" ","18","00600","IN"," ","Noble, DeKalb, LaGrange & Steuben Counties",38436,0.002 
" ","18","00700","IN"," ","Jasper, Starke, Fulton, Newton & Pulaski Counties",56541,0.003 
" ","18","01100","IN"," ","Montgomery, Clinton, White, Carroll & Benton Counties",24453,0.001 
" ","18","01300","IN"," ","Howard, Cass & Tipton Counties--Kokomo City",15415,0.001 
" ","18","01500","IN"," ","Henry, Randolph, Jay & Blackford Counties",58964,0.003 
" ","18","01600","IN"," ","Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties",42243,0.002 
" ","18","02600","IN"," ","Wayne, Fayette, Rush & Union Counties",16892,0.001 
" ","18","02700","IN"," ","Greene, Daviess, Owen, Orange & Martin Counties",62555,0.003 
" ","18","03100","IN"," ","Dearborn, Franklin, Ripley, Switzerland & Ohio Counties",61883,0.003 
" ","18","03200","IN"," ","Warrick, Gibson & Posey Counties",33759,0.002 
