"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"06","03730","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",164376,1 
"06","03731","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",108399,1 
"06","03732","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--LA City (East Central/Hollywood)",176714,1 
"06","03733","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--LA City (Central/Koreatown)",112679,1 
"06","03734","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",195576,1 
"06","03735","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",193764,1 
"06","03736","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--Alhambra & South Pasadena Cities",114737,1 
"06","03737","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--Monterey Park & Rosemead Cities",128448,1 
"06","03738","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--El Monte & South El Monte Cities",131401,1 
"06","03739","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Southeast)--Whittier City & Hacienda Heights",166483,1 
"06","03740","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--Pico Rivera & Montebello Cities",128628,1 
"06","03741","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities",143492,1 
"06","03742","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park",131781,1 
"06","03743","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--East Los Angeles",124007,1 
"06","03744","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights)",170583,1 
"06","03745","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--LA City (Southeast/East Vernon)",122254,1 
"06","03746","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)",109831,1 
"06","03747","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",158277,1 
"06","03748","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",177765,1 
"06","03749","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--Inglewood City",113695,1 
"06","03750","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South Central)--LA City (South Central/Westmont)",172913,1 
"06","03751","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South Central)--LA City (South Central/Watts)",148133,1 
"06","03752","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South)--South Gate & Lynwood Cities",171357,1 
"06","03753","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South)--Downey City",110238,1 
"06","03754","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities",136000,1 
"06","03755","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Southeast)--Norwalk City",121204,1 
"06","03756","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Southeast)--Bellflower & Paramount Cities",117361,1 
"06","03757","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South Central)--Compton City & West Rancho Dominguez",156629,1 
"06","03758","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens",153930,1 
"06","03759","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South Central)--Hawthorne City",112990,1 
"06","03760","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities",138043,1 
"06","03761","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South Central)--Torrance City",125349,1 
"06","03762","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South Central)--Carson City",112822,1 
"06","03763","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South Central)--Long Beach City (North)",142620,1 
